Region_name,SIC07_description,slope_ols,se_ols,slope_median,slope_sd,se_combined
North East,Agriculture and hunting,0.005478572484155907,0.012536371302785121,0.0038224866755921425,0.015087375229288384,0.019616052017433043
North East,Forestry and logging,-0.05374999815828859,0.012009575522276978,-0.05226195257042515,0.011877545756488712,0.01689100344629523
North East,Fishing and aquaculture,-0.017053970041971525,0.015860612249621053,-0.018593957232970422,0.016750527715631333,0.02306814252784482
North East,"Mining and quarrying, excluding support activities",-0.10474538749274338,0.012073365504788963,-0.10474538749274338,0,0.012073365504788963
North East,Mining support service activities,-0.21914706339215936,0.04994387388570013,-0.2241992027550026,0.016385983995550035,0.052563209664299816
North East,Manufacture of food products,-0.012791981686793467,0.0069418061228366775,-0.01358400608660739,0.00645510922558084,0.009479298885531126
North East,Manufacture of beverages and tobacco products,0.08839996847522172,0.030569230389023722,0.08839996847522172,0,0.030569230389023722
North East,Manufacture of textiles,0.02718399741249315,0.014927473770029002,0.027485667932183398,0.008492186307753594,0.017174012386175268
North East,Manufacture of wearing apparel,0.05856850022850552,0.01947062866084309,0.06017916252286115,0.013209996558103685,0.023528905404067473
North East,Manufacture of leather products,0.009306551843373947,0.011188124015070548,0.012006081688372906,0.014060686990007709,0.017968779524708135
North East,"Manufacture of wood products, except furniture",0.023441292118010035,0.01976713783557583,0.025118278748103066,0.013323918910184675,0.023838342084461964
North East,Manufacture of paper products,-0.007536441031938458,0.00994425181840441,-0.006599295452646784,0.008671375686008138,0.01319397212804895
North East,Printing and reproduction of recorded media,-0.015306693815361866,0.019673790779703826,-0.013755842783888177,0.016522696881866143,0.02569158531296947
North East,"Manufacture of coke, refined petroleum and chemicals",-0.024351849195905134,0.02170152473816657,-0.024573552016963186,0.0058590221890232495,0.022478530133723654
North East,Manufacture of pharmaceutical products,0.09344494872499812,0.01813376333459397,0.09308256681072508,0.011761806347183537,0.021614195826440353
North East,Manufacture of rubber and plastic products,-0.023135365237931572,0.01462689044804162,-0.023205642204815337,0.01049479289126697,0.01800240545065017
North East,Manufacture of other non-metallic mineral products,-0.05899923728739201,0.008172857473374543,-0.059451597913679724,0.011038995476479888,0.01373517456786908
North East,Manufacture of basic metals,-0.07429418643591713,0.02500853846006628,-0.07581384329075577,0.009105368657659136,0.026614558690695882
North East,Manufacture of fabricated metal products,0.0011157459419849686,0.01037785353577228,0.0018123097839638407,0.007110677420034375,0.012580205776605083
North East,"Manufacture of computer, electronic and optical products",0.03956137665178351,0.019948559457495626,0.046346054166500575,0.027048182215814863,0.0336087664993698
North East,Manufacture of electrical equipment,-0.015045666767910809,0.0175831945645435,-0.015289369821110132,0.007810904843390109,0.019240035487677436
North East,Manufacture of machinery and equipment,-0.05513723015913871,0.0061111351941553595,-0.05530345021021475,0.004319694156181955,0.0074836976799037514
North East,Manufacture of motor vehicles,0.03105318796743586,0.00961953640625131,0.03117690203609371,0.003350770726653584,0.010186419642533532
North East,Manufacture of other transport equipment,0.03711515686320598,0.02050264254875965,0.045614139764204725,0.015209717246895633,0.02552829509020773
North East,Manufacture of furniture,-0.02102901647444631,0.014311274316861515,-0.020235614038254596,0.017284625522576137,0.022440384400186874
North East,Other manufacturing,-0.032176433823190284,0.011952463145131395,-0.029786682309818617,0.020659563570714842,0.023867948009163503
North East,Repair and installation of machinery and equipment,0.0033669720394288198,0.01709962486707891,7.637770531402912e-5,0.01744014712413018,0.02442449390071634
North East,Water supply,-0.01269677460588834,0.005437749657112954,-0.01269677460588834,0,0.005437749657112954
North East,Sewerage activities,-0.046352496611405135,0.03054897002907989,-0.05303053580892293,0.019914244163226815,0.036466651757876466
North East,"Waste collection, treatment and disposal activities",0.03595938011694399,0.011277722629271982,0.039152535370993585,0.020787444261160252,0.0236496271981957
North East,Remediation and other waste management services,0.24274704329545432,0.029649212689499126,0.24217649713533607,0.010600356378157476,0.03148719372143379
North East,Construction of buildings,0.05409878457395018,0.011945516222478192,0.050960731468608134,0.017642986096859086,0.02130657917722722
North East,Civil engineering,-0.012772867488303823,0.012244015332415583,-0.015986394968223502,0.01434295023236661,0.018858317338208447
North East,Specialised construction activities,-0.012615395897721711,0.007738076146965024,-0.013014337701153495,0.011136749428171423,0.01356115814678472
North East,Motor trades,-0.014464725143478886,0.010311795731497401,-0.016989877945954197,0.012982539302201524,0.016579489073591358
North East,Wholesale trade,-0.007182150815161543,0.008032796489221582,-0.00698255532516658,0.0057244622570592285,0.009863837365333342
North East,Retail trade,-0.011378670552352829,0.006151939591386862,-0.011821623924833036,0.0065137850844550794,0.008959673926128262
North East,Land transport,-0.01859047399575006,0.010318581291535157,-0.018248810180259666,0.00882762123289132,0.013579396765004439
North East,Water transport,-0.12175645946191509,0.030504456733561426,-0.12395016641021118,0.02644212532273166,0.0403696404763873
North East,Air transport,-0.04813784429601446,0.0676284604837601,-0.04788944353909061,0.006782883212221231,0.06796775832756392
North East,Warehousing and transport support activities,0.006036398060906344,0.0038529993661019666,0.0056413971776930975,0.007036007433553318,0.008021907798036555
North East,Postal and courier activities,-0.03821325603267555,0.007135371158152477,-0.0380014699328628,0.0029992572817411816,0.0077400946897742615
North East,Accommodation,-6.804058960049516e-4,0.024700741704783258,-5.617306282661329e-4,0.017272409423456026,0.030140716117204504
North East,Food and beverage service activities,-0.0258639265540099,0.00843296749739024,-0.026196652707464314,0.009823775550722263,0.012946872474965091
North East,Publishing activities,-0.05050134000923945,0.019676171535933814,-0.05284703656657963,0.016542984359333653,0.02570645945719966
North East,"Motion picture, video and TV programme production",-0.06614593404973541,0.02633194027585361,-0.05771205430613006,0.013200017727209152,0.02945524650533004
North East,Programming and broadcasting activities,0.042013119058911336,0.019281525946252587,0.056549766558893225,0.035329021252547214,0.04024819232560568
North East,Telecommunications,0.19244479045424467,0.011471854788213668,0.1924569382973928,3.399250402361329e-4,0.011476889879877753
North East,Computer programming and consultancy,0.062433127626307726,0.009013143445511226,0.06207306490364542,0.007765055800174253,0.011896757808293057
North East,Information service activities,-0.10559989953354039,0.022346118222506782,-0.1054708626795307,0.004015958771463849,0.022704116905714417
North East,Legal and accounting activities,0.004098922903800164,0.010077423401306237,0.003560995195250877,0.008789231490630673,0.01337180064931752
North East,Head offices and management consultancy,0.04085557913703249,0.012733933983164657,0.03380895532558286,0.0229498635449209,0.026245938950970778
North East,Architectural and engineering activities,-0.021321420922047394,0.007199913276608553,-0.021532420274555222,0.008238128582166142,0.01094100149561213
